 Trial 	 Generation 	 CoverEpsilon 	 PackingEpsilon 	 MinArchiveSparseness 	 ArchiveSize 
 2 	79 	8 	6 	2.0 	40
 2 	80 	8 	6 	2.0 	41
 2 	81 	8 	6 	2.0 	42
 2 	82 	8 	6 	2.0 	42
 2 	83 	8 	6 	2.0 	43
 2 	84 	8 	6 	2.0 	43
 2 	85 	8 	6 	2.0 	43
 2 	86 	8 	6 	2.0 	44
 2 	87 	7 	6 	2.0 	44
 2 	88 	8 	6 	2.0 	45
 2 	89 	8 	6 	2.0 	45
 2 	90 	8 	6 	2.0 	46
 2 	91 	8 	6 	2.0 	47
 2 	92 	8 	6 	2.0 	47
 2 	93 	8 	6 	2.0 	47
 2 	94 	8 	6 	2.0 	48
 2 	95 	8 	6 	2.0 	49
 2 	96 	8 	6 	2.0 	49
 2 	97 	8 	6 	2.0 	49
 2 	98 	8 	6 	2.0 	50
 2 	99 	8 	6 	2.0 	51
 2 	100 	8 	6 	2.0 	52
 2 	101 	8 	6 	2.0 	52
 2 	102 	8 	6 	2.0 	52
 2 	103 	8 	6 	2.0 	53
 2 	104 	8 	6 	2.0 	53
 2 	105 	7 	6 	2.0 	54
 2 	106 	7 	6 	2.0 	54
 2 	107 	8 	6 	2.0 	54
 2 	108 	7 	6 	2.0 	54
 2 	109 	8 	6 	2.0 	55
 2 	110 	8 	6 	2.0 	56
 2 	111 	8 	6 	2.0 	56
 2 	112 	8 	6 	2.0 	57
 2 	113 	7 	6 	2.0 	57
 2 	114 	7 	6 	2.0 	57
 2 	115 	8 	6 	2.0 	58
 2 	116 	7 	6 	2.0 	58
 2 	117 	8 	6 	2.0 	58
 2 	118 	7 	6 	2.0 	58
 2 	119 	7 	6 	2.0 	58
 2 	120 	7 	6 	2.0 	58
 2 	121 	7 	6 	2.0 	59
 2 	122 	8 	6 	2.0 	59
 2 	123 	7 	6 	2.0 	60
 2 	124 	7 	6 	2.0 	61
 2 	125 	7 	6 	2.0 	61
 2 	126 	7 	6 	2.0 	62
 2 	127 	7 	6 	2.0 	63
 2 	128 	7 	6 	2.0 	64
 2 	129 	7 	6 	2.0 	65
 2 	130 	7 	6 	2.0 	65
 2 	131 	7 	6 	2.0 	66
 2 	132 	7 	6 	2.0 	67
 2 	133 	7 	6 	2.0 	67
 2 	134 	7 	6 	2.0 	68
 2 	135 	7 	6 	2.0 	68
 2 	136 	7 	6 	2.0 	69
 2 	137 	7 	6 	2.0 	69
 2 	138 	7 	6 	2.0 	70
 2 	139 	7 	6 	2.0 	70
 2 	140 	7 	6 	2.0 	71
 2 	141 	7 	6 	2.0 	71
 2 	142 	7 	6 	2.0 	72
 2 	143 	7 	6 	2.0 	72
 2 	144 	7 	6 	2.0 	72
 2 	145 	7 	6 	2.0 	72
 2 	146 	7 	6 	2.0 	72
 2 	147 	7 	6 	2.0 	73
 2 	148 	7 	6 	2.0 	73
 2 	149 	7 	6 	2.0 	74
 2 	150 	7 	6 	2.0 	74
 2 	151 	7 	6 	2.0 	74
 2 	152 	7 	6 	2.0 	74
 2 	153 	7 	6 	2.0 	75
 2 	154 	7 	6 	2.0 	76
 2 	155 	7 	6 	2.0 	76
 2 	156 	7 	6 	2.0 	76
 2 	157 	7 	6 	2.0 	77
 2 	158 	7 	6 	2.0 	77
 2 	159 	7 	6 	2.0 	77
 2 	160 	7 	6 	2.0 	78
 2 	161 	7 	6 	2.0 	79
 2 	162 	7 	6 	2.0 	80
 2 	163 	7 	6 	2.0 	81
 2 	164 	7 	6 	2.0 	81
 2 	165 	7 	6 	2.0 	81
 2 	166 	7 	6 	2.0 	81
 2 	167 	7 	6 	2.0 	82
 2 	168 	7 	6 	2.0 	82
 2 	169 	7 	6 	2.0 	83
 2 	170 	7 	6 	2.0 	83
 2 	171 	7 	6 	2.0 	83
 2 	172 	7 	6 	2.0 	84
 2 	173 	7 	6 	2.0 	84
